source_role,url,prediction_keys,source_locators,preservation_level,archived_copy_url,archive_status,preserved_capsule_count,preserved_text_capsule_sha256
primary_outcome_evidence,https://biometrics.mainguet.org/appli/appli_smartphones_history.htm,34-CCC-2013-034-08,,locator_and_text_capsule,,pending_external_archive,1,F772082A220D8E6B30F116D9C05A02C7A8902A5302A77B37C20B11A5251AC3FD
primary_outcome_evidence,https://cloud.googleblog.com/2008/12/google-apps-on-campus-getting-things.html,111-CCC-2007-014-05,,locator_and_text_capsule,,pending_external_archive,1,E7D84ED0570A783E8346366CC2D7F67226FD187E2B924AB24C6C08FB1A3AD831
primary_outcome_evidence,https://content.naic.org/sites/default/files/inline-files/2025_Cybersecurity_Insurance%20Report.pdf,93-BHKEY-2015-01-01,,locator_and_text_capsule,,pending_external_archive,1,A0E01F236267258CB68E047051A39B375FF4E30A5DAE6E0AAED0E26136F4F67F
primary_outcome_evidence,https://cve.mitre.org/cgi-bin/cvekey.cgi?keyword=random+2018,43-CCC-2017-073-02,,locator_and_text_capsule,,pending_external_archive,1,62F31107B8E473496F0A1DA7FDD59AF1265EB508341D8D91705B092B7B91F6A8
primary_outcome_evidence,https://datatracker.ietf.org/doc/html/rfc6092,70-CCC-2009-021-10,,locator_and_text_capsule,,pending_external_archive,1,D820081E43D678481E1B8303E8252792D9FAB82193271C9C868241E6B9688E6D
primary_outcome_evidence,https://digital.nhs.uk/cyber-alerts/2019/cc-3120,23-CCC-2018-085-05,,locator_and_text_capsule,,pending_external_archive,1,D38AAEED7CA9CE7E02E4D9873FA7F884D472A719AAC60AFCA55C4139C7681DCE
primary_outcome_evidence,https://documents.trendmicro.com/assets/rpt/Trend-Micro-2019-Midyear-Roundup.pdf,23-CCC-2018-085-06,,locator_and_text_capsule,,pending_external_archive,1,1E26638D13F1EDC3D1A1E36769D76785D4718FACD2CCF335B0C8E0F57A7912B5
primary_outcome_evidence,https://english.kiesraad.nl/latest/news/2018/03/29/results-of-the-referendum-on-the-intelligence-and-security-services-act,133-CCC-2017-072-01,,locator_and_text_capsule,,pending_external_archive,1,F6B9FAF22422649E089DC0C3B71255B45083D6655E80689D022A082BB0799CF5
primary_outcome_evidence,https://eur-lex.europa.eu/eli/dir/2015/2366/oj,44-VB-2015-P02-01,,locator_and_text_capsule,,pending_external_archive,1,B6577D086C3B3F6CB3195E6235E4F2FFB355373EA6E55F53CE3B7AAEE5568836
primary_outcome_evidence,https://eur-lex.europa.eu/eli/reco/2009/387/oj/eng,25-CCC-2007-013-05,,locator_and_text_capsule,,pending_external_archive,1,336D5CE580C78C0F68BB96C3141E2B774C1E4B41F881117712BB211BE8F77B70
primary_outcome_evidence,https://eur-lex.europa.eu/eli/reg/2015/2120/oj,131-CCC-2015-056-03,,locator_and_text_capsule,,pending_external_archive,1,84DC49C2E978BAD608E3F35A8BEFD94106C942C1D5806C90A07538FD1CF4BEA2
primary_outcome_evidence,https://eur-lex.europa.eu/eli/reg/2015/758/oj,92-CCC-2014-045-01,,locator_and_text_capsule,,pending_external_archive,1,C98FB18848444B3734E31717D1460FF14DB5C39D71D5F9E7B796E0A11EB39AE9
primary_outcome_evidence,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32014L0026,27-CCC-2012-032-04,,locator_and_text_capsule,,pending_external_archive,1,9738B1EA489B5A12E34DD0F0490463092F4B399BFF87CE1DBFEB441931B4411D
